Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.10     81.30     0.09 20849182     0.00     0.00  std::_Vector_base<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::_Vector_base(unsigned long, std::allocator<BLG::blnode_T*> const&)
  0.09     81.38     0.08 41699492     0.00     0.00  __gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >::base() const
  0.09     81.46     0.08 41698399     0.00     0.00  std::_Vector_base<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::_M_get_Tp_allocator()
  0.09     81.54     0.08 41698362     0.00     0.00  __gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >::__normal_iterator(BLG::bledge_T* const* const&)
  0.09     81.62     0.08 36640748     0.00     0.00  std::allocator<std::string>::~allocator()
  0.09     81.70     0.08 26162965     0.00     0.00  bool __gnu_cxx::operator!=<xsd::cxx::tree::sequence_common::ptr const*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >(__gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr const*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > > const&, __gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr const*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > > const&)
  0.09     81.78     0.08 20849205     0.00     0.00  std::_Vector_base<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::_M_get_Tp_allocator() const
  0.09     81.86     0.08 20849195     0.00     0.00  void std::_Destroy<BLG::blnode_T**, BLG::blnode_T*>(BLG::blnode_T**, BLG::blnode_T**, std::allocator<BLG::blnode_T*>&)
  0.09     81.94     0.08 20849194     0.00     0.00  std::_Vector_base<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::_M_allocate(unsigned long)
  0.09     82.02     0.08 20849182     0.00     0.00  std::allocator<BLG::bledge_T*>::~allocator()
  0.09     82.10     0.08 21055845     0.00     0.00  std::allocator<xsd::cxx::tree::sequence_common::ptr>::~allocator()
  0.09     82.17     0.08 20849206     0.00     0.00  std::_Vector_base<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::_M_get_Tp_allocator() const
  0.09     82.25     0.08 20849181     0.00     0.00  std::allocator<BLG::bledge_T*>::allocator(std::allocator<BLG::bledge_T*> const&)
  0.09     82.32     0.08 20849182     0.00     0.00  BLG::blnode_T** std::__copy_move_a<false, BLG::blnode_T* const*, BLG::blnode_T**>(BLG::blnode_T* const*, BLG::blnode_T* const*, BLG::blnode_T**)
  0.09     82.40     0.08 15791566     0.00     0.00  bool __gnu_cxx::operator==<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.08     82.47     0.07 41698362     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > > >(__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >)
  0.08     82.54     0.07 20849193     0.00     0.00  __gnu_cxx::new_allocator<BLG::bledge_T*>::allocate(unsigned long, void const*)
  0.08     82.61     0.07 52329059     0.00     0.00  __gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr const*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >::base() const
  0.08     82.68     0.07 25906758     0.00     0.00  xsd::cxx::tree::sequence_common::ptr* std::fill_n<xsd::cxx::tree::sequence_common::ptr*, unsigned long, xsd::cxx::tree::sequence_common::ptr>(xsd::cxx::tree::sequence_common::ptr*, unsigned long, xsd::cxx::tree::sequence_common::ptr const&)
  0.08     82.75     0.07 20849254     0.00     0.00  std::_Niter_base<BLG::blnode_T**>::iterator_type std::__niter_base<BLG::blnode_T**>(BLG::blnode_T**)
  0.08     82.82     0.07 20849181     0.00     0.00  BLG::bledge_T** std::__copy_move_a<false, BLG::bledge_T* const*, BLG::bledge_T**>(BLG::bledge_T* const*, BLG::bledge_T* const*, BLG::bledge_T**)
  0.08     82.89     0.07 15791566     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&)
  0.08     82.95     0.07 47081504     0.00     0.00  std::_Vector_base<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::_M_get_Tp_allocator()
